rank,feature,split,gain,gain_pct,cumulative_pct
153,V143,241,5326.38,0.1,91.52
154,V34,210,5239.67,0.09,91.62
155,M2,357,5235.46,0.09,91.71
156,V306,609,5211.3,0.09,91.8
157,V279,223,5158.41,0.09,91.9
158,V326,108,5144.0,0.09,91.99
159,V298,251,5069.93,0.09,92.08
160,V217,176,4962.34,0.09,92.17
161,V24,487,4746.52,0.08,92.25
162,V190,82,4622.65,0.08,92.33
163,M8,601,4535.33,0.08,92.42
164,V74,370,4530.64,0.08,92.5
165,V259,400,4485.99,0.08,92.58
166,V5,581,4418.88,0.08,92.66
167,V209,318,4367.28,0.08,92.73
168,V66,426,4245.81,0.08,92.81
169,V275,182,4245.18,0.08,92.89
170,V268,286,4235.55,0.08,92.96
171,V212,275,4160.74,0.07,93.04
172,V33,223,4132.78,0.07,93.11
173,id_38,438,4089.91,0.07,93.18
174,V256,181,4081.63,0.07,93.26
175,V37,558,4061.39,0.07,93.33
176,V225,90,4011.66,0.07,93.4
177,C3,336,3912.74,0.07,93.47
178,V169,252,3912.61,0.07,93.54
179,M7,589,3850.97,0.07,93.61
180,V208,477,3787.47,0.07,93.68
181,V126,485,3738.41,0.07,93.75
182,V26,342,3696.39,0.07,93.81
183,V233,124,3693.04,0.07,93.88
184,V220,369,3657.38,0.07,93.94
185,V287,249,3631.89,0.07,94.01
186,V23,426,3625.37,0.06,94.07
187,V332,201,3607.28,0.06,94.14
188,V234,472,3489.7,0.06,94.2
189,V322,45,3461.45,0.06,94.26
190,V210,355,3412.6,0.06,94.32
191,V94,248,3405.8,0.06,94.38
192,V271,457,3386.13,0.06,94.44
193,V321,501,3328.11,0.06,94.5
194,V4,410,3314.61,0.06,94.56
195,V277,466,3284.05,0.06,94.62
196,V316,531,3267.17,0.06,94.68
197,V301,245,3225.68,0.06,94.74
198,V81,407,3214.7,0.06,94.8
199,id_08,601,3204.64,0.06,94.85
200,V288,365,3188.83,0.06,94.91
201,V274,328,3185.26,0.06,94.97
202,V200,160,3182.63,0.06,95.02
203,V164,271,3153.51,0.06,95.08
204,V178,136,3126.23,0.06,95.14
205,id_36,144,3125.84,0.06,95.19
206,V57,105,3095.81,0.06,95.25
207,V270,413,3078.83,0.06,95.3
208,V203,511,3072.37,0.05,95.36
209,V25,325,3057.65,0.05,95.41
